Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
bortezomib,Velcade,05/30/2012,Treatment of mantle cell lymphoma.,Designated/Approved,,Treatment of patients with mantle cell lymphoma who have received at least 1 prior therapy.,12/08/06,12/08/13,,"Millennium Pharmaceuticals, Inc.",40 Landsdowne Street,,Cambridge,Massachusetts,2139,United States,226106
bortezomib,Velcade,05/30/2012,Treatment of mantle cell lymphoma.,Designated/Approved,,Treatment of patients with mantle cell lymphoma.,10/08/14,10/08/21,Treatment of patients with mantle cell lymphoma who have not received at least 1 prior therapy,"Millennium Pharmaceuticals, Inc.",40 Landsdowne Street,,Cambridge,Massachusetts,2139,United States,226106
bosutinib,Bosulif,02/24/2009,Treatment of chronic myelogenous leukemia,Designated/Approved,,"Treatment of adult patients with chronic, accelerated or blast phase Philadelphia chromosome-positive (Ph+) chronic myelogenous leukemia (CML) with resistance, or intolerance to prior therapy",9/04/12,9/04/19,,Pfizer Inc.,445 Eastern Point Road,,Groton,Connecticut,6340,United States,274808
bosutinib,Bosulif,02/24/2009,Treatment of chronic myelogenous leukemia,Designated/Approved,,BOSULIF is indicated for the treatment of adult patients with newly-diagnosed chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukemia (Ph+CML).,12/19/2017,12/19/2024,Treatment of adult patients with newly-diagnosed chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukemia (Ph+ CML).,Pfizer Inc.,445 Eastern Point Road,,Groton,Connecticut,6340,United States,274808
Botulinum toxin type A,Botox,03/22/1984,Treatment of strabismus and blepharospasms,Designated/Approved,,Treatment of blepharospasm associated with dystonia in adults (patients 12 years of age and above),12/30/1989,12/30/1996,,"Allergan, Inc.",2525 Dupont Drive,P.O. Box 19534,Irvine,California,92713,United States,483
Botulinum toxin type A,Dysport,10/20/1999,Treatment of dynamic muscle contractures in pediatric cerebral palsy patients.,Designated/Approved,,Treatment of lower limb spasticity in pediatric patients 2 years of age and older,07/29/2016,07/29/2023,Treatment of lower limb spasticity in pediatric cerebral palsy patients 2 years of age and older,"Ipsen Biopharmaceuticals, Inc.",650 East Kendall Street,,Cambridge,Massachusetts,2142,United States,128299
botulinum toxin type A,Botox,12/06/91,Treatment of dynamic muscle contracture in pediatric cerebral palsy patients,Designated/Approved,,BOTOX is indicated for the treatment of upper limb spasticity in pediatric patients 2 to 17 years of age.,06/20/2019,06/20/2026,For the treatment of upper limb spasticity in pediatric cerebral palsy patients 2 to 17 years of age,"Allergan, Inc.",2525 Dupont Drive,T1-2A,Irvine,California,92623,United States,56591
Botulinum toxin type A,Botox,03/22/1984,Treatment of strabismus and blepharospasms,Designated/Approved,,Treatment of strabismus associated with dystonia in adults (patients 12 years of age and above),12/29/1989,12/29/1996,,"Allergan, Inc.",2525 Dupont Drive,P.O. Box 19534,Irvine,California,92713,United States,483
Botulinum toxin type A,Botox,08/20/1986,Treatment of cervical dystonia.,Designated/Approved,,Treatment of cervical dystonia in adults to decrease the severity of abnormal head position and neck pain associated with cervical dystonia.,12/21/2000,12/21/2007,,"Allergan, Inc.",2525 Dupont Drive,P.O. Box 19534,Irvine,California,92623,United States,9885
Botulinum toxin type B,Myobloc,01/16/1992,Treatment of cervical dystonia.,Designated/Approved,,Treatment of patients with cervical dystonia to reduce the severity of abnormal head position and neck pain associated with cervical dystonia.,12/08/00,12/08/07,,"Soltice Neurosciences, LLC",4010 Dupont Circle,Suite L-07,Louisville,Kentucky,40207,United States,64791
"botulism antitoxin heptavalent (A, B, C, D, E, F, G) (Equine)",,06/29/2011,Treatment of botulism.,Designated/Approved,,"Treatment of symptomatic botulism following documented or suspected exposure to botulinum neurotoxin (BoNT) serotypes A, B, C, D, E, F or G in adults and pediatric patients.",03/22/2013,03/22/2020,"Treatment of symptomatic botulism following documented or suspected exposure to botulinum neurotoxin serotypes A, B, C, D, E, F, or G in adults and pediatric patients",Cangene Corporation,155 Innovation Drive,,Winnipeg,,,Canada,345011
Botulism immune globulin,BabyBIG,01/31/1989,Treatment of infant botulism.,Designated/Approved,,Indicated for treatment of infant botulism caused by type A or type B Clostridium botulinum.,10/23/2003,10/23/2010,,California Department of Health Services,2151 Berkeley Way,,Berkeley,California,94704,United States,34488
brentuximab vedotin,Adcetris,10/23/2008,"Treatment of peripheral T-cell lymphoma, including anaplastic large cell lymphoma, peripheral T-cell lymphoma not otherwise specified, angioimmunoblastic T-cell lymphoma, adult T-cell leukemia/lymphoma, enteropathy-associated T-cell lymphoma, and extranod",Designated/Approved,,"ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone",11/16/2018,11/16/2025,"ADCETRIS is indicated for the treatment of adult patients with previously untreated sALCL or other CD30-expressing PTCL, including angioimmunoblastic T-cell lymphoma and PTCL not otherwise specified, in combination with cyclophosphamide, doxorubicin, and prednisone",Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,98021,United States,268908
brentuximab vedotin,Adcetris,10/23/2008,"Treatment of peripheral T-cell lymphoma, including anaplastic large cell lymphoma, peripheral T-cell lymphoma not otherwise specified, angioimmunoblastic T-cell lymphoma, adult T-cell leukemia/lymphoma, enteropathy-associated T-cell lymphoma, and extranod",Designated/Approved,,The treatment of patients with systemic anaplastic large cell lymphoma (sALCL) after failure of at least one prior multi-agent chemotherapy regimen,08/19/2011,08/19/2018,,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,98021,United States,268908
brentuximab vedotin,Adcetris,11/19/2012,Treatment of mycosis fungoides,Designated/Approved,,Treatment for adult patients with CD30-expressing mycosis fungoides who have received prior systemic therapy,11/09/17,11/09/24,Treatment for adult patients with CD30-expressing mycosis fungoides who have received prior systemic therapy,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,98021,United States,362611
brentuximab vedotin,Adcetris,01/30/2007,Treatment of Hodgkin's lymphoma,Designated/Approved,,"ADCETRIS is indicated for the treatment of adult patients with previously untreated Stage III or IV classical Hodgkin lymphoma (cHL), in combination with chemotherapy.",03/20/2018,03/20/2025,"ADCETRIS is indicated for the treatment of adult patients with previously untreated Stage III or IV classical Hodgkin lymphoma (cHL), in combination with chemotherapy.",Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,98021,United States,235606
Brentuximab vedotin,Adcetris,9/07/16,Treatment of primary cutaneous CD30-positive T-cell lymphoproliferative disorders,Designated/Approved,,For adult patients with primary cutaneous anaplastic large cell lymphoma who have received prior systemic therapy,11/09/17,11/09/24,For adult patients with primary cutaneous anaplastic large cell lymphoma who have received prior systemic therapy,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,98021,United States,536516
brentuximab vedotin,Adcetris,01/30/2007,Treatment of Hodgkin's lymphoma,Designated/Approved,,Treatment of patients with classical Hodgkin lymphoma at high risk of relapse or progression as post-autologous hematopoietic stem cell transplantation (auto-HSCT) consolidation.,08/17/2015,08/17/2022,Treatment of patients with classical Hodgkin lymphoma at high risk of relapse or progression as post-autologous hematopoietic stem cell transplantation (auto-HSCT) consolidation.,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,98021,United States,235606
brentuximab vedotin,Adcetris,01/30/2007,Treatment of Hodgkin's lymphoma,Designated/Approved,,The treatment of patients with Hodgkin lymphoma after failure of autologous stem cell transplant (ASCT) or after failure of at least two prior multi-agent chemotherapy regimens in patients who are not ASCT candidates,08/19/2011,08/19/2018,,Seagen Inc.,21823 30th Drive Southeast,,Bothell,Washington,98021,United States,235606
brexucabtagene autoleucel,Tecartus,04/20/2016,Treatment of acute lymphoblastic leukemia (ALL),Designated/Approved,,Treatment of adult patients with relapsed or refractory B-cell precursor acute lymphomblastic leukemia (ALL),10/01/21,10/01/28,Treatment of adult patients with relapsed or refractory B-cell precursor acute lymphomblastic leukemia (ALL),"Kite Pharma, Inc.",2225 Colorado Avenue,,Santa Monica,California,90404,United States,515815
brexucabtagene autoleucel,TECARTUS,04/28/2016,Treatment of mantle cell lymphoma.,Designated/Approved,,TECARTUS is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL),07/24/2020,07/24/2027,TECARTUS is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL),"Kite Pharma, Inc.",199 E Blaine St,,Seattle,Washington,98102,United States,515715
brigatinib; brigatinib,Alunbrig; Alunbrig,04/28/2016,"Treatment of anaplastic lymphoma kinase-positive (ALK+), c-ros 1 oncogene positive (ROS1+), or epidermal growth factor receptor positive (EGFR+) non-small cell lung cancer (NSCLC).",Designated/Approved,,Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib,04/28/2017,04/28/2024,Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,505415
brigatinib; brigatinib,Alunbrig; Alunbrig,04/28/2016,"Treatment of anaplastic lymphoma kinase-positive (ALK+), c-ros 1 oncogene positive (ROS1+), or epidermal growth factor receptor positive (EGFR+) non-small cell lung cancer (NSCLC).",Designated/Approved,,ALUNBRIG (brigatinib) is indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.,05/22/2020,05/22/2027,"For the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test, not including patients who have progressed on or are intolerant to crizotinib.","Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,505415
Brilliant Blue G Ophthalmic Solution 0.025%,DORC ILM-Blue,07/31/2012,For use as an aid in ophthalmic surgery by selectively staining the internal limiting membrane,Designated/Approved,,TissueBlue (Brilliant Blue G Ophthalmic Solution) 0.025% is indicated to selectively stain the internal limiting membrane (ILM).,12/20/2019,12/20/2026,Indicated to selectively stain the internal limiting membrane (ILM),Dutch Ophthalmic Research Center International BV,P.O. Box 43,,Zuidland,,,Netherlands,341811
brincidofovir,Tembexa,6/05/18,Treatment of smallpox,Designated/Approved,,"Treatment of human smallpox disease caused by variola virus in adult and pediatric patients, including neonates",6/04/21,6/04/28,"Treatment of human smallpox disease caused by variola virus in adult and pediatric patients, including neonates","Chimerix, Inc.",2505 Meridian Parkway,Suite 100,Durham,North Carolina,27713,United States,640518
budesonide,Tarpeyo,05/17/2010,To slow the progression of immunoglobulin A nephropathy & delay kidney failure in patients affected by the disease.,Designated/Approved,,"to reduce proteinuria in adults with primary immunoglobulin A nephropathy (IgAN) at risk of rapid disease progression, generally a urine protein-to-creatinine ratio (UPCR) > or = 1.5 g/g",12/15/2021,,,Calliditas Therapeutics AB,26B Wallingatan,,Norrmalm,Stockholms l_,,Sweden,305710
